Method|ThreadCount|BlobName|SizeMB|Mbps|MilliSec
SyncCopy | 32 | 001MB/File08.dat | 1.0 | 1.43 | 5597.41
SyncCopy | 32 | 001MB/File00.dat | 1.0 | 1.18 | 6798.94
SyncCopy | 32 | 001MB/File05.dat | 1.0 | .90 | 8892.83
SyncCopy | 32 | 001MB/File03.dat | 1.0 | .86 | 9267.13
SyncCopy | 32 | 001MB/File02.dat | 1.0 | .85 | 9408.62
SyncCopy | 32 | 010MB/File04.dat | 10.0 | 5.46 | 14644.67
SyncCopy | 32 | 010MB/File00.dat | 10.0 | 5.16 | 15501.33
SyncCopy | 32 | 010MB/File08.dat | 10.0 | 5.15 | 15529.79
SyncCopy | 32 | 010MB/File01.dat | 10.0 | 5.13 | 15596.19
SyncCopy | 32 | 010MB/File07.dat | 10.0 | 5.05 | 15829.52
SyncCopy | 32 | 010MB/File02.dat | 10.0 | 4.72 | 16940.28
SyncCopy | 32 | 010MB/File09.dat | 10.0 | 4.45 | 17989.39
SyncCopy | 32 | 010MB/File05.dat | 10.0 | 3.82 | 20953.34
SyncCopy | 32 | 010MB/File03.dat | 10.0 | 3.40 | 23522.66
SyncCopy | 32 | 010MB/File06.dat | 10.0 | 3.19 | 25075.63
SyncCopy | 32 | 100MB/File03.dat | 100.0 | 25.03 | 31965.40
SyncCopy | 32 | 100MB/File07.dat | 100.0 | 24.87 | 32166.13
SyncCopy | 32 | 100MB/File00.dat | 100.0 | 24.34 | 32871.17
SyncCopy | 32 | 100MB/File04.dat | 100.0 | 23.11 | 34620.11
SyncCopy | 32 | 100MB/File08.dat | 100.0 | 22.82 | 35060.40
SyncCopy | 32 | 100MB/File09.dat | 100.0 | 22.57 | 35438.07
SyncCopy | 32 | 100MB/File06.dat | 100.0 | 22.46 | 35611.31
SyncCopy | 32 | 100MB/File01.dat | 100.0 | 22.30 | 35881.78
SyncCopy | 32 | 100MB/File02.dat | 100.0 | 21.03 | 38036.24
SyncCopy | 32 | 100MB/File05.dat | 100.0 | 20.17 | 39659.43
SyncCopy-Total | 32 | 30 blobs | 1110.0 | 223.28 | 00:00:39.7713442
ServiceSideSyncCopy | 32 | 001MB/File01.dat | 1.0 | 4.28 | 1871.34
ServiceSideSyncCopy | 32 | 001MB/File06.dat | 1.0 | 4.26 | 1879.55
ServiceSideSyncCopy | 32 | 001MB/File04.dat | 1.0 | 4.04 | 1979.29
